matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,Goal_difference,Points_Home,result,AvgPointDelta,Season
33.0,M'gladbach,Mainz,3,1,6,1.625,6,1.625,2,3,1,0.0,1314
33.0,Hamburg,Bayern Munich,1,4,16,0.84375,16,0.84375,-3,0,2,0.0,1314
33.0,Nurnberg,Hannover,0,2,17,0.8125,17,0.8125,-2,0,2,0.0,1314
33.0,Ein Frankfurt,Leverkusen,0,2,11,1.125,11,1.125,-2,0,2,0.0,1314
33.0,Dortmund,Hoffenheim,3,2,2,2.03125,2,2.03125,1,3,1,0.0,1314
33.0,Braunschweig,Augsburg,0,1,18,0.78125,18,0.78125,-1,0,2,0.0,1314
33.0,Freiburg,Schalke 04,0,2,12,1.125,12,1.125,-2,0,2,0.0,1314
34.0,Schalke 04,Nurnberg,4,1,3,1.8484848484848484,3,1.8484848484848484,3,3,1,0.0,1314
34.0,Augsburg,Ein Frankfurt,2,1,8,1.4848484848484849,8,1.4848484848484849,1,3,1,0.0,1314
34.0,Bayern Munich,Stuttgart,1,0,1,2.6363636363636362,1,2.6363636363636362,1,3,1,0.0,1314
34.0,Hannover,Freiburg,3,2,11,1.1818181818181819,11,1.1818181818181819,1,3,1,0.0,1314
34.0,Hertha,Dortmund,0,4,10,1.2424242424242424,10,1.2424242424242424,-4,0,2,0.0,1314
34.0,Hoffenheim,Braunschweig,3,1,9,1.2424242424242424,9,1.2424242424242424,2,3,1,0.0,1314
34.0,Leverkusen,Werder Bremen,2,1,4,1.7575757575757576,4,1.7575757575757576,1,3,1,0.0,1314
34.0,Mainz,Hamburg,3,2,7,1.5151515151515151,7,1.5151515151515151,1,3,1,0.0,1314
34.0,Wolfsburg,M'gladbach,3,1,5,1.7272727272727273,5,1.7272727272727273,2,3,1,0.0,1314
