matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,Season
1.0,Bayern Munich,Hoffenheim,3,1,2,3,0,,0,,1,1819
1.0,Fortuna Dusseldorf,Augsburg,1,2,-1,0,0,,0,,2,1819
1.0,Freiburg,Ein Frankfurt,0,2,-2,0,0,,0,,2,1819
1.0,Hertha,Nurnberg,1,0,1,3,0,,0,,1,1819
1.0,M'gladbach,Leverkusen,2,0,2,3,0,,0,,1,1819
1.0,Werder Bremen,Hannover,1,1,0,1,0,,0,,X,1819
1.0,Wolfsburg,Schalke 04,2,1,1,3,0,,0,,1,1819
1.0,Mainz,Stuttgart,1,0,1,3,0,,0,,1,1819
1.0,Dortmund,RB Leipzig,4,1,3,3,0,,0,,1,1819
2.0,Hannover,Dortmund,0,0,0,1,9,1.0,9,1.0,X,1819
2.0,Augsburg,M'gladbach,1,1,0,1,5,3.0,5,3.0,X,1819
2.0,Ein Frankfurt,Werder Bremen,1,2,-1,0,3,3.0,3,3.0,2,1819
2.0,Hoffenheim,Freiburg,3,1,2,3,16,0.0,16,0.0,1,1819
2.0,Leverkusen,Wolfsburg,1,3,-2,0,17,0.0,17,0.0,2,1819
2.0,Nurnberg,Mainz,1,1,0,1,12,0.0,12,0.0,X,1819
2.0,Stuttgart,Bayern Munich,0,3,-3,0,14,0.0,14,0.0,2,1819
2.0,RB Leipzig,Fortuna Dusseldorf,1,1,0,1,18,0.0,18,0.0,X,1819
2.0,Schalke 04,Hertha,0,2,-2,0,13,0.0,13,0.0,2,1819
3.0,Dortmund,Ein Frankfurt,3,1,2,3,4,2.0,4,2.0,1,1819
3.0,Bayern Munich,Leverkusen,3,1,2,3,1,3.0,1,3.0,1,1819
3.0,Fortuna Dusseldorf,Hoffenheim,2,1,1,3,12,0.5,12,0.5,1,1819
3.0,Mainz,Augsburg,2,1,1,3,7,2.0,7,2.0,1,1819
3.0,M'gladbach,Schalke 04,2,1,1,3,5,2.0,5,2.0,1,1819
