matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,Season
1.0,Bayern Munich,Schalke 04,8,0,8,3,0,,0,,1,2021
1.0,Ein Frankfurt,Bielefeld,1,1,0,1,0,,0,,X,2021
1.0,FC Koln,Hoffenheim,2,3,-1,0,0,,0,,2,2021
1.0,Stuttgart,Freiburg,2,3,-1,0,0,,0,,2,2021
1.0,Union Berlin,Augsburg,1,3,-2,0,0,,0,,2,2021
1.0,Werder Bremen,Hertha,1,4,-3,0,0,,0,,2,2021
1.0,Dortmund,M'gladbach,3,0,3,3,0,,0,,1,2021
1.0,RB Leipzig,Mainz,3,1,2,3,0,,0,,1,2021
1.0,Wolfsburg,Leverkusen,0,0,0,1,0,,0,,X,2021
2.0,Hertha,Ein Frankfurt,1,3,-2,0,3,3.0,3,3.0,2,2021
2.0,Schalke 04,Werder Bremen,1,3,-2,0,18,0.0,18,0.0,2,2021
2.0,M'gladbach,Union Berlin,1,1,0,1,16,0.0,16,0.0,X,2021
2.0,Mainz,Stuttgart,1,4,-3,0,14,0.0,14,0.0,2,2021
2.0,Augsburg,Dortmund,2,0,2,3,4,3.0,4,3.0,1,2021
2.0,Bielefeld,FC Koln,1,0,1,3,8,1.0,8,1.0,1,2021
2.0,Leverkusen,RB Leipzig,1,1,0,1,10,1.0,10,1.0,X,2021
2.0,Hoffenheim,Bayern Munich,4,1,3,3,7,3.0,7,3.0,1,2021
2.0,Freiburg,Wolfsburg,1,1,0,1,6,3.0,6,3.0,X,2021
3.0,Union Berlin,Mainz,4,0,4,3,14,0.5,14,0.5,1,2021
3.0,Werder Bremen,Bielefeld,1,0,1,3,11,1.5,11,1.5,1,2021
3.0,RB Leipzig,Schalke 04,4,0,4,3,4,2.0,4,2.0,1,2021
3.0,Stuttgart,Leverkusen,1,1,0,1,8,1.5,8,1.5,X,2021
3.0,Dortmund,Freiburg,4,0,4,3,9,1.5,9,1.5,1,2021
3.0,Ein Frankfurt,Hoffenheim,2,1,1,3,3,2.0,3,2.0,1,2021
3.0,FC Koln,M'gladbach,1,3,-2,0,16,0.0,16,0.0,2,2021
3.0,Wolfsburg,Augsburg,0,0,0,1,13,1.0,13,1.0,X,2021
3.0,Bayern Munich,Hertha,4,3,1,3,7,1.5,7,1.5,1,2021
4.0,Augsburg,RB Leipzig,0,2,-2,0,2,2.3333333333333335,2,2.3333333333333335,2,2021
4.0,Freiburg,Werder Bremen,1,1,0,1,12,1.3333333333333333,12,1.3333333333333333,X,2021
4.0,Hertha,Stuttgart,0,2,-2,0,13,1.0,13,1.0,2,2021
4.0,Hoffenheim,Dortmund,0,1,-1,0,6,2.0,6,2.0,2,2021
4.0,Mainz,Leverkusen,0,1,-1,0,17,0.0,17,0.0,2,2021
4.0,Bielefeld,Bayern Munich,1,4,-3,0,10,1.3333333333333333,10,1.3333333333333333,2,2021
4.0,M'gladbach,Wolfsburg,1,1,0,1,11,1.3333333333333333,11,1.3333333333333333,X,2021
4.0,FC Koln,Ein Frankfurt,1,1,0,1,16,0.0,16,0.0,X,2021
4.0,Schalke 04,Union Berlin,1,1,0,1,18,0.0,18,0.0,X,2021
5.0,Stuttgart,FC Koln,1,1,0,1,5,1.75,5,1.75,X,2021
5.0,Dortmund,Schalke 04,3,0,3,3,3,2.25,3,2.25,1,2021
5.0,Union Berlin,Freiburg,1,1,0,1,10,1.25,10,1.25,X,2021
5.0,Bayern Munich,Ein Frankfurt,5,0,5,3,2,2.25,2,2.25,1,2021
5.0,Mainz,M'gladbach,2,3,-1,0,18,0.0,18,0.0,2,2021
5.0,RB Leipzig,Hertha,2,1,1,3,1,2.5,1,2.5,1,2021
5.0,Wolfsburg,Bielefeld,2,1,1,3,13,1.0,13,1.0,1,2021
5.0,Werder Bremen,Hoffenheim,1,1,0,1,7,1.75,7,1.75,X,2021
5.0,Leverkusen,Augsburg,3,1,2,3,9,1.5,9,1.5,1,2021
6.0,Schalke 04,Stuttgart,1,1,0,1,17,0.2,17,0.2,X,2021
6.0,Augsburg,Mainz,3,1,2,3,11,1.4,11,1.4,1,2021
6.0,Bielefeld,Dortmund,0,2,-2,0,14,0.8,14,0.8,2,2021
6.0,FC Koln,Bayern Munich,1,2,-1,0,16,0.4,16,0.4,2,2021
6.0,M'gladbach,RB Leipzig,1,0,1,3,6,1.6,6,1.6,1,2021
6.0,Ein Frankfurt,Werder Bremen,1,1,0,1,8,1.6,8,1.6,X,2021
6.0,Freiburg,Leverkusen,2,4,-2,0,13,1.2,13,1.2,2,2021
6.0,Hertha,Wolfsburg,1,1,0,1,15,0.6,15,0.6,X,2021
6.0,Hoffenheim,Union Berlin,1,3,-2,0,9,1.4,9,1.4,2,2021
7.0,Werder Bremen,FC Koln,1,1,0,1,9,1.5,9,1.5,X,2021
7.0,Stuttgart,Ein Frankfurt,2,2,0,1,7,1.5,7,1.5,X,2021
7.0,Union Berlin,Bielefeld,5,0,5,3,8,1.5,8,1.5,1,2021
7.0,Dortmund,Bayern Munich,2,3,-1,0,2,2.5,2,2.5,2,2021
7.0,RB Leipzig,Freiburg,3,0,3,3,3,2.1666666666666665,3,2.1666666666666665,1,2021
7.0,Augsburg,Hertha,0,3,-3,0,6,1.6666666666666667,6,1.6666666666666667,2,2021
7.0,Mainz,Schalke 04,2,2,0,1,18,0.0,18,0.0,X,2021
7.0,Wolfsburg,Hoffenheim,2,1,1,3,11,1.3333333333333333,11,1.3333333333333333,1,2021
7.0,Leverkusen,M'gladbach,4,3,1,3,4,2.0,4,2.0,1,2021
8.0,Hertha,Dortmund,2,5,-3,0,12,1.0,12,1.0,2,2021
8.0,Ein Frankfurt,RB Leipzig,1,1,0,1,11,1.4285714285714286,11,1.4285714285714286,X,2021
8.0,M'gladbach,Augsburg,1,1,0,1,7,1.5714285714285714,7,1.5714285714285714,X,2021
8.0,Schalke 04,Wolfsburg,0,2,-2,0,17,0.42857142857142855,17,0.42857142857142855,2,2021
8.0,Bielefeld,Leverkusen,1,2,-1,0,15,0.5714285714285714,15,0.5714285714285714,2,2021
8.0,Bayern Munich,Werder Bremen,1,1,0,1,1,2.5714285714285716,1,2.5714285714285716,X,2021
