matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,AvgPointDelta,Season
1.0,Bayern Munich,Hamburg,5,0,5,3,0,,0,,1,,1516
1.0,Augsburg,Hertha,0,1,-1,0,0,,0,,2,,1516
1.0,Darmstadt,Hannover,2,2,0,1,0,,0,,X,,1516
1.0,Dortmund,M'gladbach,4,0,4,3,0,,0,,1,,1516
1.0,Leverkusen,Hoffenheim,2,1,1,3,0,,0,,1,,1516
1.0,Mainz,Ingolstadt,0,1,-1,0,0,,0,,2,,1516
1.0,Werder Bremen,Schalke 04,0,3,-3,0,0,,0,,2,,1516
1.0,Stuttgart,FC Koln,1,3,-2,0,0,,0,,2,,1516
1.0,Wolfsburg,Ein Frankfurt,2,1,1,3,0,,0,,1,,1516
2.0,Hertha,Werder Bremen,1,1,0,1,5,3.0,5,3.0,X,0.0,1516
2.0,Schalke 04,Darmstadt,1,1,0,1,3,3.0,3,3.0,X,0.0,1516
2.0,Hoffenheim,Bayern Munich,1,2,-1,0,13,0.0,13,0.0,2,0.0,1516
2.0,Hannover,Leverkusen,0,1,-1,0,10,1.0,10,1.0,2,0.0,1516
2.0,Ein Frankfurt,Augsburg,1,1,0,1,12,0.0,12,0.0,X,0.0,1516
2.0,FC Koln,Wolfsburg,1,1,0,1,4,3.0,4,3.0,X,0.0,1516
2.0,Hamburg,Stuttgart,3,2,1,3,18,0.0,18,0.0,1,0.0,1516
2.0,Ingolstadt,Dortmund,0,4,-4,0,6,3.0,6,3.0,2,0.0,1516
2.0,M'gladbach,Mainz,1,2,-1,0,17,0.0,17,0.0,2,0.0,1516
3.0,Wolfsburg,Schalke 04,3,0,3,3,7,2.0,7,2.0,1,0.0,1516
3.0,Mainz,Hannover,3,0,3,3,8,1.5,8,1.5,1,0.0,1516
3.0,Stuttgart,Ein Frankfurt,1,4,-3,0,17,0.0,17,0.0,2,0.0,1516
3.0,FC Koln,Hamburg,2,1,1,3,5,2.0,5,2.0,1,0.0,1516
3.0,Augsburg,Ingolstadt,0,1,-1,0,12,0.5,12,0.5,2,0.0,1516
3.0,Bayern Munich,Leverkusen,3,0,3,3,2,3.0,2,3.0,1,0.0,1516
3.0,Darmstadt,Hoffenheim,0,0,0,1,11,1.0,11,1.0,X,0.0,1516
3.0,Dortmund,Hertha,3,1,2,3,1,3.0,1,3.0,1,0.0,1516
3.0,Werder Bremen,M'gladbach,2,1,1,3,15,0.5,15,0.5,1,0.0,1516
4.0,M'gladbach,Hamburg,0,3,-3,0,17,0.0,17,0.0,2,0.0,1516
4.0,Bayern Munich,Augsburg,2,1,1,3,2,3.0,2,3.0,1,0.0,1516
4.0,Ein Frankfurt,FC Koln,6,2,4,3,8,1.3333333333333333,8,1.3333333333333333,1,0.0,1516
4.0,Hannover,Dortmund,2,4,-2,0,16,0.3333333333333333,16,0.3333333333333333,2,0.0,1516
4.0,Hertha,Stuttgart,2,1,1,3,10,1.3333333333333333,10,1.3333333333333333,1,0.0,1516
4.0,Ingolstadt,Wolfsburg,0,0,0,1,7,2.0,7,2.0,X,0.0,1516
4.0,Leverkusen,Darmstadt,0,1,-1,0,6,2.0,6,2.0,2,0.0,1516
4.0,Hoffenheim,Werder Bremen,1,3,-2,0,15,0.3333333333333333,15,0.3333333333333333,2,0.0,1516
4.0,Schalke 04,Mainz,2,1,1,3,9,1.3333333333333333,9,1.3333333333333333,1,0.0,1516
5.0,Mainz,Hoffenheim,3,1,2,3,10,1.5,10,1.5,1,0.0,1516
5.0,Wolfsburg,Hertha,2,0,2,3,3,2.0,3,2.0,1,0.0,1516
5.0,Werder Bremen,Ingolstadt,0,1,-1,0,7,1.75,7,1.75,2,0.0,1516
5.0,Darmstadt,Bayern Munich,0,3,-3,0,11,1.5,11,1.5,2,0.0,1516
5.0,FC Koln,M'gladbach,1,0,1,3,8,1.75,8,1.75,1,0.0,1516
