matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,Season
1.0,Bayern Munich,Werder Bremen,6,0,6,3,0,,0,,1,1617
1.0,Augsburg,Wolfsburg,0,2,-2,0,0,,0,,2,1617
1.0,Dortmund,Mainz,2,1,1,3,0,,0,,1,1617
1.0,Ein Frankfurt,Schalke 04,1,0,1,3,0,,0,,1,1617
1.0,FC Koln,Darmstadt,2,0,2,3,0,,0,,1,1617
1.0,Hamburg,Ingolstadt,1,1,0,1,0,,0,,X,1617
1.0,M'gladbach,Leverkusen,2,1,1,3,0,,0,,1,1617
1.0,Hertha,Freiburg,2,1,1,3,0,,0,,1,1617
1.0,Hoffenheim,RB Leipzig,2,2,0,1,0,,0,,X,1617
2.0,Schalke 04,Bayern Munich,0,2,-2,0,15,0.0,15,0.0,2,1617
2.0,Wolfsburg,FC Koln,0,0,0,1,3,3.0,3,3.0,X,1617
2.0,RB Leipzig,Dortmund,1,0,1,3,11,1.0,11,1.0,1,1617
2.0,Leverkusen,Hamburg,3,1,2,3,13,0.0,13,0.0,1,1617
2.0,Darmstadt,Ein Frankfurt,1,0,1,3,17,0.0,17,0.0,1,1617
2.0,Freiburg,M'gladbach,3,1,2,3,12,0.0,12,0.0,1,1617
2.0,Ingolstadt,Hertha,0,2,-2,0,10,1.0,10,1.0,2,1617
2.0,Mainz,Hoffenheim,4,4,0,1,14,0.0,14,0.0,X,1617
2.0,Werder Bremen,Augsburg,1,2,-1,0,18,0.0,18,0.0,2,1617
3.0,FC Koln,Freiburg,3,0,3,3,3,2.0,3,2.0,1,1617
3.0,Hoffenheim,Wolfsburg,0,0,0,1,13,1.0,13,1.0,X,1617
3.0,M'gladbach,Werder Bremen,4,1,3,3,12,1.5,12,1.5,1,1617
3.0,Hamburg,RB Leipzig,0,4,-4,0,15,0.5,15,0.5,2,1617
3.0,Bayern Munich,Ingolstadt,3,1,2,3,1,3.0,1,3.0,1,1617
3.0,Dortmund,Darmstadt,6,0,6,3,8,1.5,8,1.5,1,1617
3.0,Ein Frankfurt,Leverkusen,2,1,1,3,9,1.5,9,1.5,1,1617
3.0,Augsburg,Mainz,1,3,-2,0,10,1.5,10,1.5,2,1617
3.0,Hertha,Schalke 04,2,0,2,3,2,3.0,2,3.0,1,1617
4.0,Darmstadt,Hoffenheim,1,1,0,1,14,1.0,14,1.0,X,1617
4.0,Freiburg,Hamburg,1,0,1,3,12,1.0,12,1.0,1,1617
4.0,Ingolstadt,Ein Frankfurt,0,2,-2,0,15,0.3333333333333333,15,0.3333333333333333,2,1617
4.0,Wolfsburg,Dortmund,1,5,-4,0,8,1.6666666666666667,8,1.6666666666666667,2,1617
4.0,Werder Bremen,Mainz,1,2,-1,0,18,0.0,18,0.0,2,1617
4.0,Schalke 04,FC Koln,1,3,-2,0,17,0.0,17,0.0,2,1617
4.0,Bayern Munich,Hertha,3,0,3,3,1,3.0,1,3.0,1,1617
4.0,Leverkusen,Augsburg,0,0,0,1,11,1.0,11,1.0,X,1617
4.0,RB Leipzig,M'gladbach,1,1,0,1,4,2.3333333333333335,4,2.3333333333333335,X,1617
5.0,Dortmund,Freiburg,3,1,2,3,3,2.25,3,2.25,1,1617
5.0,M'gladbach,Ingolstadt,2,0,2,3,7,1.75,7,1.75,1,1617
5.0,Werder Bremen,Wolfsburg,2,1,1,3,18,0.0,18,0.0,1,1617
5.0,Mainz,Leverkusen,2,3,-1,0,8,1.75,8,1.75,2,1617
5.0,Augsburg,Darmstadt,1,0,1,3,13,1.0,13,1.0,1,1617
5.0,Ein Frankfurt,Hertha,3,3,0,1,4,2.25,4,2.25,X,1617
5.0,Hamburg,Bayern Munich,0,1,-1,0,16,0.25,16,0.25,2,1617
5.0,FC Koln,RB Leipzig,1,1,0,1,2,2.5,2,2.5,X,1617
5.0,Hoffenheim,Schalke 04,2,1,1,3,11,1.0,11,1.0,1,1617
6.0,RB Leipzig,Augsburg,2,1,1,3,7,1.8,7,1.8,1,1617
6.0,Bayern Munich,FC Koln,1,1,0,1,1,3.0,1,3.0,X,1617
6.0,Darmstadt,Werder Bremen,2,2,0,1,14,0.8,14,0.8,X,1617
6.0,Freiburg,Ein Frankfurt,1,0,1,3,12,1.2,12,1.2,1,1617
6.0,Hertha,Hamburg,2,0,2,3,6,2.0,6,2.0,1,1617
6.0,Ingolstadt,Hoffenheim,1,2,-1,0,17,0.2,17,0.2,2,1617
6.0,Leverkusen,Dortmund,2,0,2,3,9,1.4,9,1.4,1,1617
6.0,Schalke 04,M'gladbach,4,0,4,3,18,0.0,18,0.0,1,1617
6.0,Wolfsburg,Mainz,0,0,0,1,13,1.0,13,1.0,X,1617
7.0,Dortmund,Hertha,1,1,0,1,3,2.0,3,2.0,X,1617
7.0,Werder Bremen,Leverkusen,2,1,1,3,15,0.6666666666666666,15,0.6666666666666666,1,1617
7.0,M'gladbach,Hamburg,0,0,0,1,9,1.6666666666666667,9,1.6666666666666667,X,1617
7.0,Hoffenheim,Freiburg,2,1,1,3,8,1.6666666666666667,8,1.6666666666666667,1,1617
7.0,Ein Frankfurt,Bayern Munich,2,2,0,1,7,1.6666666666666667,7,1.6666666666666667,X,1617
7.0,Augsburg,Schalke 04,1,1,0,1,12,1.1666666666666667,12,1.1666666666666667,X,1617
7.0,FC Koln,Ingolstadt,2,1,1,3,4,2.0,4,2.0,1,1617
7.0,Mainz,Darmstadt,2,1,1,3,11,1.3333333333333333,11,1.3333333333333333,1,1617
7.0,Wolfsburg,RB Leipzig,0,1,-1,0,13,1.0,13,1.0,2,1617
8.0,Hamburg,Ein Frankfurt,0,3,-3,0,17,0.2857142857142857,17,0.2857142857142857,2,1617
8.0,Leverkusen,Hoffenheim,0,3,-3,0,10,1.4285714285714286,10,1.4285714285714286,2,1617
8.0,Ingolstadt,Dortmund,3,3,0,1,18,0.14285714285714285,18,0.14285714285714285,X,1617
8.0,Hertha,FC Koln,2,1,1,3,4,2.0,4,2.0,1,1617
8.0,Freiburg,Augsburg,2,1,1,3,11,1.2857142857142858,11,1.2857142857142858,1,1617
8.0,Bayern Munich,M'gladbach,2,0,2,3,1,2.4285714285714284,1,2.4285714285714284,1,1617
8.0,Darmstadt,Wolfsburg,3,1,2,3,15,0.7142857142857143,15,0.7142857142857143,1,1617
8.0,RB Leipzig,Werder Bremen,3,1,2,3,3,2.142857142857143,3,2.142857142857143,1,1617
8.0,Schalke 04,Mainz,3,0,3,3,16,0.5714285714285714,16,0.5714285714285714,1,1617
9.0,M'gladbach,Ein Frankfurt,0,0,0,1,10,1.375,10,1.375,X,1617
9.0,Werder Bremen,Freiburg,1,3,-2,0,15,0.875,15,0.875,2,1617
9.0,Wolfsburg,Leverkusen,1,2,-1,0,16,0.75,16,0.75,2,1617
9.0,Mainz,Ingolstadt,2,0,2,3,9,1.375,9,1.375,1,1617
