matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,AvgPointDelta,Season
1.0,Bayern Munich,Leverkusen,3,1,2,3,0,,0,,1,,1718
1.0,Hamburg,Augsburg,1,0,1,3,0,,0,,1,,1718
1.0,Hertha,Stuttgart,2,0,2,3,0,,0,,1,,1718
1.0,Hoffenheim,Werder Bremen,1,0,1,3,0,,0,,1,,1718
1.0,Mainz,Hannover,0,1,-1,0,0,,0,,2,,1718
1.0,Schalke 04,RB Leipzig,2,0,2,3,0,,0,,1,,1718
1.0,Wolfsburg,Dortmund,0,3,-3,0,0,,0,,2,,1718
1.0,M'gladbach,FC Koln,1,0,1,3,0,,0,,1,,1718
1.0,Freiburg,Ein Frankfurt,0,0,0,1,0,,0,,X,,1718
2.0,FC Koln,Hamburg,1,3,-2,0,12,0.0,12,0.0,2,0.0,1718
2.0,Augsburg,M'gladbach,2,2,0,1,11,0.0,11,0.0,X,0.0,1718
2.0,Dortmund,Hertha,2,0,2,3,1,3.0,1,3.0,1,0.0,1718
2.0,Ein Frankfurt,Wolfsburg,0,1,-1,0,9,1.0,9,1.0,2,0.0,1718
2.0,Leverkusen,Hoffenheim,2,2,0,1,15,0.0,15,0.0,X,0.0,1718
2.0,Stuttgart,Mainz,1,0,1,3,17,0.0,17,0.0,1,0.0,1718
2.0,Werder Bremen,Bayern Munich,0,2,-2,0,14,0.0,14,0.0,2,0.0,1718
2.0,Hannover,Schalke 04,1,0,1,3,6,3.0,6,3.0,1,0.0,1718
2.0,RB Leipzig,Freiburg,4,1,3,3,16,0.0,16,0.0,1,0.0,1718
3.0,Hamburg,RB Leipzig,0,2,-2,0,3,3.0,3,3.0,2,0.0,1718
3.0,Augsburg,FC Koln,3,0,3,3,12,0.5,12,0.5,1,0.0,1718
3.0,Freiburg,Dortmund,0,0,0,1,15,0.5,15,0.5,X,0.0,1718
3.0,Hoffenheim,Bayern Munich,2,0,2,3,5,2.0,5,2.0,1,0.0,1718
3.0,Mainz,Leverkusen,3,1,2,3,16,0.0,16,0.0,1,0.0,1718
3.0,M'gladbach,Ein Frankfurt,0,1,-1,0,6,2.0,6,2.0,2,0.0,1718
3.0,Wolfsburg,Hannover,1,1,0,1,11,1.5,11,1.5,X,0.0,1718
3.0,Hertha,Werder Bremen,1,1,0,1,9,1.5,9,1.5,X,0.0,1718
3.0,Schalke 04,Stuttgart,3,1,2,3,8,1.5,8,1.5,1,0.0,1718
4.0,Hannover,Hamburg,2,0,2,3,3,2.3333333333333335,3,2.3333333333333335,1,0.0,1718
4.0,Werder Bremen,Schalke 04,1,2,-1,0,16,0.3333333333333333,16,0.3333333333333333,2,0.0,1718
4.0,Stuttgart,Wolfsburg,1,0,1,3,14,1.0,14,1.0,1,0.0,1718
4.0,Bayern Munich,Mainz,4,0,4,3,6,2.0,6,2.0,1,0.0,1718
4.0,Ein Frankfurt,Augsburg,1,2,-1,0,9,1.3333333333333333,9,1.3333333333333333,2,0.0,1718
4.0,RB Leipzig,M'gladbach,2,2,0,1,4,2.0,4,2.0,X,0.0,1718
4.0,Dortmund,FC Koln,5,0,5,3,1,2.3333333333333335,1,2.3333333333333335,1,0.0,1718
4.0,Hoffenheim,Hertha,1,1,0,1,2,2.3333333333333335,2,2.3333333333333335,X,0.0,1718
4.0,Leverkusen,Freiburg,4,0,4,3,17,0.3333333333333333,17,0.3333333333333333,1,0.0,1718
5.0,Wolfsburg,Werder Bremen,1,1,0,1,14,1.0,14,1.0,X,0.0,1718
5.0,Schalke 04,Bayern Munich,0,3,-3,0,4,2.25,4,2.25,2,0.0,1718
5.0,M'gladbach,Stuttgart,2,0,2,3,11,1.25,11,1.25,1,0.0,1718
5.0,Augsburg,RB Leipzig,1,0,1,3,6,1.75,6,1.75,1,0.0,1718
5.0,FC Koln,Ein Frankfurt,0,1,-1,0,18,0.0,18,0.0,2,0.0,1718
