matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,Season
1.0,Bayern Munich,Wolfsburg,2,1,1,3,0,,0,,1,1415
1.0,Dortmund,Leverkusen,0,2,-2,0,0,,0,,2,1415
1.0,Ein Frankfurt,Freiburg,1,0,1,3,0,,0,,1,1415
1.0,FC Koln,Hamburg,0,0,0,1,0,,0,,X,1415
1.0,Hannover,Schalke 04,2,1,1,3,0,,0,,1,1415
1.0,Hertha,Werder Bremen,2,2,0,1,0,,0,,X,1415
1.0,Hoffenheim,Augsburg,2,0,2,3,0,,0,,1,1415
1.0,Paderborn,Mainz,2,2,0,1,0,,0,,X,1415
1.0,M'gladbach,Stuttgart,1,1,0,1,0,,0,,X,1415
2.0,Augsburg,Dortmund,2,3,-1,0,17,0.0,17,0.0,2,1415
2.0,Hamburg,Paderborn,0,3,-3,0,7,1.0,7,1.0,2,1415
2.0,Leverkusen,Hertha,4,2,2,3,2,3.0,2,3.0,1,1415
2.0,Schalke 04,Bayern Munich,1,1,0,1,15,0.0,15,0.0,X,1415
2.0,Stuttgart,FC Koln,0,2,-2,0,12,1.0,12,1.0,2,1415
2.0,Werder Bremen,Hoffenheim,1,1,0,1,13,1.0,13,1.0,X,1415
2.0,Wolfsburg,Ein Frankfurt,2,2,0,1,16,0.0,16,0.0,X,1415
2.0,Freiburg,M'gladbach,0,0,0,1,14,0.0,14,0.0,X,1415
2.0,Mainz,Hannover,0,0,0,1,10,1.0,10,1.0,X,1415
3.0,Leverkusen,Werder Bremen,3,3,0,1,1,3.0,1,3.0,X,1415
3.0,Bayern Munich,Stuttgart,2,0,2,3,5,2.0,5,2.0,1,1415
3.0,Dortmund,Freiburg,3,1,2,3,8,1.5,8,1.5,1,1415
3.0,Hertha,Mainz,1,3,-2,0,15,0.5,15,0.5,2,1415
3.0,Hoffenheim,Wolfsburg,1,1,0,1,4,2.0,4,2.0,X,1415
3.0,M'gladbach,Schalke 04,4,1,3,3,9,1.0,9,1.0,1,1415
3.0,Paderborn,FC Koln,0,0,0,1,2,2.0,2,2.0,X,1415
3.0,Ein Frankfurt,Augsburg,0,1,-1,0,6,2.0,6,2.0,2,1415
3.0,Hannover,Hamburg,2,0,2,3,7,2.0,7,2.0,1,1415
4.0,Freiburg,Hertha,2,2,0,1,14,0.3333333333333333,14,0.3333333333333333,X,1415
4.0,Stuttgart,Hoffenheim,0,2,-2,0,17,0.3333333333333333,17,0.3333333333333333,2,1415
4.0,Schalke 04,Ein Frankfurt,2,2,0,1,16,0.3333333333333333,16,0.3333333333333333,X,1415
4.0,Paderborn,Hannover,2,0,2,3,6,1.6666666666666667,6,1.6666666666666667,1,1415
4.0,Augsburg,Werder Bremen,4,2,2,3,12,1.0,12,1.0,1,1415
4.0,Hamburg,Bayern Munich,0,0,0,1,18,0.3333333333333333,18,0.3333333333333333,X,1415
4.0,Mainz,Dortmund,2,0,2,3,9,1.6666666666666667,9,1.6666666666666667,1,1415
4.0,FC Koln,M'gladbach,0,0,0,1,7,1.6666666666666667,7,1.6666666666666667,X,1415
4.0,Wolfsburg,Leverkusen,4,1,3,3,13,0.6666666666666666,13,0.6666666666666666,1,1415
5.0,Werder Bremen,Schalke 04,0,3,-3,0,13,0.75,13,0.75,2,1415
5.0,Hoffenheim,Freiburg,3,3,0,1,2,2.0,2,2.0,X,1415
5.0,Ein Frankfurt,Mainz,2,2,0,1,12,1.25,12,1.25,X,1415
5.0,Bayern Munich,Paderborn,4,0,4,3,4,2.0,4,2.0,1,1415
5.0,Dortmund,Stuttgart,2,2,0,1,10,1.5,10,1.5,X,1415
5.0,Hannover,FC Koln,1,0,1,3,5,1.75,5,1.75,1,1415
5.0,Hertha,Wolfsburg,1,0,1,3,15,0.5,15,0.5,1,1415
5.0,Leverkusen,Augsburg,1,0,1,3,6,1.75,6,1.75,1,1415
5.0,M'gladbach,Hamburg,1,0,1,3,7,1.5,7,1.5,1,1415
6.0,Mainz,Hoffenheim,0,0,0,1,6,1.8,6,1.8,X,1415
6.0,Wolfsburg,Werder Bremen,2,1,1,3,12,1.0,12,1.0,1,1415
6.0,Stuttgart,Hannover,1,0,1,3,18,0.4,18,0.4,1,1415
6.0,Schalke 04,Dortmund,2,1,1,3,13,1.0,13,1.0,1,1415
6.0,Paderborn,M'gladbach,1,2,-1,0,7,1.6,7,1.6,2,1415
6.0,Freiburg,Leverkusen,0,0,0,1,15,0.6,15,0.6,X,1415
6.0,FC Koln,Bayern Munich,0,2,-2,0,9,1.2,9,1.2,2,1415
6.0,Augsburg,Hertha,1,0,1,3,11,1.2,11,1.2,1,1415
6.0,Hamburg,Ein Frankfurt,1,2,-1,0,17,0.4,17,0.4,2,1415
7.0,Hertha,Stuttgart,3,2,1,3,14,0.8333333333333334,14,0.8333333333333334,1,1415
7.0,Werder Bremen,Freiburg,1,1,0,1,17,0.5,17,0.5,X,1415
7.0,Leverkusen,Paderborn,2,2,0,1,3,1.8333333333333333,3,1.8333333333333333,X,1415
7.0,Hoffenheim,Schalke 04,2,1,1,3,4,1.6666666666666667,4,1.6666666666666667,1,1415
7.0,Ein Frankfurt,FC Koln,3,2,1,3,7,1.5,7,1.5,1,1415
7.0,Dortmund,Hamburg,0,1,-1,0,12,1.1666666666666667,12,1.1666666666666667,2,1415
7.0,Bayern Munich,Hannover,4,0,4,3,1,2.3333333333333335,1,2.3333333333333335,1,1415
7.0,M'gladbach,Mainz,1,1,0,1,2,2.0,2,2.0,X,1415
7.0,Wolfsburg,Augsburg,1,0,1,3,9,1.3333333333333333,9,1.3333333333333333,1,1415
8.0,Stuttgart,Leverkusen,3,3,0,1,17,0.7142857142857143,17,0.7142857142857143,X,1415
8.0,Schalke 04,Hertha,2,0,2,3,11,1.1428571428571428,11,1.1428571428571428,1,1415
8.0,Hannover,M'gladbach,0,3,-3,0,8,1.4285714285714286,8,1.4285714285714286,2,1415
8.0,Mainz,Augsburg,2,1,1,3,6,1.5714285714285714,6,1.5714285714285714,1,1415
8.0,FC Koln,Dortmund,2,1,1,3,14,0.8571428571428571,14,0.8571428571428571,1,1415
8.0,Bayern Munich,Werder Bremen,6,0,6,3,1,2.4285714285714284,1,2.4285714285714284,1,1415
8.0,Freiburg,Wolfsburg,1,2,-1,0,15,0.7142857142857143,15,0.7142857142857143,2,1415
8.0,Hamburg,Hoffenheim,1,1,0,1,16,0.7142857142857143,16,0.7142857142857143,X,1415
8.0,Paderborn,Ein Frankfurt,3,1,2,3,9,1.2857142857142858,9,1.2857142857142858,1,1415
9.0,Werder Bremen,FC Koln,0,1,-1,0,18,0.5,18,0.5,2,1415
9.0,Hoffenheim,Paderborn,1,0,1,3,3,1.75,3,1.75,1,1415
9.0,Leverkusen,Schalke 04,1,0,1,3,6,1.625,6,1.625,1,1415
9.0,Hertha,Hamburg,3,0,3,3,13,1.0,13,1.0,1,1415
9.0,Ein Frankfurt,Stuttgart,4,5,-1,0,8,1.5,8,1.5,2,1415
9.0,Dortmund,Hannover,0,1,-1,0,14,0.875,14,0.875,2,1415
9.0,Augsburg,Freiburg,2,0,2,3,12,1.125,12,1.125,1,1415
9.0,M'gladbach,Bayern Munich,0,0,0,1,2,2.0,2,2.0,X,1415
9.0,Wolfsburg,Mainz,3,0,3,3,5,1.75,5,1.75,1,1415
10.0,Schalke 04,Augsburg,1,0,1,3,12,1.2222222222222223,12,1.2222222222222223,1,1415
10.0,Stuttgart,Wolfsburg,0,4,-4,0,14,1.0,14,1.0,2,1415
10.0,Hannover,Ein Frankfurt,1,0,1,3,7,1.4444444444444444,7,1.4444444444444444,1,1415
10.0,Mainz,Werder Bremen,1,2,-1,0,6,1.5555555555555556,6,1.5555555555555556,2,1415
10.0,Bayern Munich,Dortmund,2,1,1,3,1,2.3333333333333335,1,2.3333333333333335,1,1415
10.0,Hamburg,Leverkusen,1,0,1,3,16,0.6666666666666666,16,0.6666666666666666,1,1415
10.0,FC Koln,Freiburg,0,1,-1,0,10,1.3333333333333333,10,1.3333333333333333,2,1415
10.0,M'gladbach,Hoffenheim,3,1,2,3,2,1.8888888888888888,2,1.8888888888888888,1,1415
10.0,Paderborn,Hertha,3,1,2,3,8,1.3333333333333333,8,1.3333333333333333,1,1415
11.0,Hertha,Hannover,0,2,-2,0,13,1.1,13,1.1,2,1415
11.0,Leverkusen,Mainz,0,0,0,1,5,1.6,5,1.6,X,1415
11.0,Werder Bremen,Stuttgart,2,0,2,3,18,0.7,18,0.7,1,1415
11.0,Hoffenheim,FC Koln,3,4,-1,0,4,1.7,4,1.7,2,1415
11.0,Freiburg,Schalke 04,2,0,2,3,16,0.8,16,0.8,1,1415
11.0,Ein Frankfurt,Bayern Munich,0,4,-4,0,12,1.2,12,1.2,2,1415
11.0,Augsburg,Paderborn,3,0,3,3,10,1.2,10,1.2,1,1415
11.0,Dortmund,M'gladbach,1,0,1,3,17,0.7,17,0.7,1,1415
11.0,Wolfsburg,Hamburg,2,0,2,3,2,2.0,2,2.0,1,1415
12.0,Bayern Munich,Hoffenheim,4,0,4,3,1,2.4545454545454546,1,2.4545454545454546,1,1415
12.0,FC Koln,Hertha,1,2,-1,0,9,1.3636363636363635,9,1.3636363636363635,2,1415
12.0,Hannover,Leverkusen,1,3,-2,0,4,1.7272727272727273,4,1.7272727272727273,2,1415
12.0,Mainz,Freiburg,2,2,0,1,8,1.3636363636363635,8,1.3636363636363635,X,1415
12.0,M'gladbach,Ein Frankfurt,1,3,-2,0,3,1.8181818181818181,3,1.8181818181818181,2,1415
12.0,Paderborn,Dortmund,2,2,0,1,10,1.3636363636363635,10,1.3636363636363635,X,1415
12.0,Schalke 04,Wolfsburg,3,2,1,3,11,1.2727272727272727,11,1.2727272727272727,1,1415
12.0,Hamburg,Werder Bremen,2,0,2,3,17,0.8181818181818182,17,0.8181818181818182,1,1415
12.0,Stuttgart,Augsburg,0,1,-1,0,18,0.8181818181818182,18,0.8181818181818182,2,1415
